Short_Description_ru,Short_Description,Water_In_Grams,Energy_In_Kilogram_Calorie,Protein_In_Grams,Lipid_Tot_In_Grams,Ash_In_Grams,Carbohydrate_In_Grams,Fiber_TD_In_Grams,Sugar_Tot_In_Grams,Calcium_In_Miligrams,Iron_In_Miligrams,Magnesium_In_Miligrams,Phosphorus_In_Miligrams,Potassium_In_Miligrams,Sodium_In_Miligrams,Zinc_In_Miligrams,Copper_In_Miligrams,Manganese_In_Miligrams,Selenium_In_Micrograms,Vit_C_In_Miligrams,Thiamin_In_Miligrams,Riboflavin_In_Miligrams,Niacin_In_Miligrams,Panto_Acid_In_Miligrams,Vit_B6_In_Miligrams,Folate_Tot_In_Micrograms,Folic_Acid_In_Micrograms,Food_Folate_In_Micrograms,Folate_DFE_In_Micrograms,Choline_Tot_In_Miligrams,Vit_B12_In_Micrograms,Vit_A_In_International_Unit,Vit_A_In_Retinol_Activity_Equivalents,Retinol_In_Micrograms,Alpha_Carot_In_Micrograms,Beta_Carot_In_Micrograms,Beta_Crypt_In_Micrograms,Lycopene_In_Micrograms,Lut_And_Zea_In_Micrograms,Vit_E_In_Miligrams,Vit_D_In_Micrograms,Vit_D_In_International_Unit,Vit_K_In_Micrograms,FA_Sat_In_Grams,FA_Mono_In_Grams,FA_Poly_In_Grams,Cholesterol_In_Miligrams,Gram_Weight_1,Gram_Weight_Descritpion_1,Gram_Weight_2,Gram_Weight_Description_2,Refuse_Percent,Desk3,cluster
"lamb,aus,frsh,стеллаж,rst,frnched,dnuded,bne-in,ln & ft,0"",rstd","lamb,aus,frsh,rack,rst,frnched,dnuded,bne-in,ln & ft,0"",rstd",64.15,193,25.95,9.91,0.98,0.0,0.0,0.0,7.0,1.92,22.0,166.0,227.0,71.0,2.31,0.092,0.004,12.1,0.0,0.13699999999999998,0.3720000000000001,7.616,0.642,0.522,0.0,0.0,0.0,0.0,0.0,1.35,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.743,3.972,0.675,97.0,85.0,3 oz,329.0,1 roast,28.0,баранина,cluster 10
"lamb,aus,imp,frsh,нога,половина головки,ln&fat,1/8""fat,ckd,rstd","lamb,aus,imp,frsh,leg,shank half,ln&fat,1/8""fat,ckd,rstd",60.82,231,25.25,13.69,1.03,0.0,0.0,0.0,10.0,2.01,23.0,203.0,313.0,67.0,4.49,0.138,0.013,10.6,0.0,0.127,0.39,5.4179999999999975,0.926,0.429,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.341,5.5539999999999985,0.563,83.0,85.0,3 oz,277.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",20.0,баранина,cluster 10
"ягненок, aus, imp, frsh, нога, половина рулинки, ln&fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,leg,shank half,ln&fat,1/8""fat,raw",67.64,201,18.59,13.48,0.98,0.0,0.0,0.0,9.0,1.48,20.0,176.0,301.0,75.0,4.04,0.181,0.01,7.8,0.0,0.142,0.292,5.06,0.495,0.3670000000000001,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3889999999999985,5.549,0.57,66.0,28.35,1 oz,453.6,1 lb,17.0,баранина,cluster 10
"lamb,aus,imp,frsh,нога,половина головки,ln,1/8""fat,ckd,rstd","lamb,aus,imp,frsh,leg,shank half,ln,1/8""fat,ckd,rstd",65.3,182,27.18,7.27,1.1,0.0,0.0,0.0,8.0,2.13,25.0,213.0,329.0,69.0,4.86,0.147,0.014,11.5,0.0,0.135,0.42,5.725,0.99,0.46,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.918,3.0210000000000004,0.348,83.0,85.0,3 oz,246.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",29.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,blade,ln&fat,1/8""fat,raw","lamb,aus,imp,frsh,shldr,blade,ln&fat,1/8""fat,raw",62.13,262,16.48,21.28,0.76,0.0,0.0,0.0,19.0,1.21,17.0,150.0,260.0,78.0,4.37,0.109,0.01,6.9,0.0,0.107,0.213,4.004,0.679,0.261,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,8.579,0.8640000000000001,67.0,28.35,1 oz,453.6,1 lb,28.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,blade,ln,1/8""fat,ckd,brld","lamb,aus,imp,frsh,shldr,blade,ln,1/8""fat,ckd,brld",62.25,231,23.83,14.38,1.07,0.0,0.0,0.0,28.0,1.67,21.0,188.0,315.0,94.0,6.32,0.131,0.013,9.0,0.0,0.1,0.29,4.695,0.775,0.211,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.334,5.589,0.5589999999999999,85.0,85.0,3 oz,233.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",36.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,blade,ln,1/8""fat,raw","lamb,aus,imp,frsh,shldr,blade,ln,1/8""fat,raw",71.62,164,19.1,9.09,0.87,0.0,0.0,0.0,19.0,1.36,20.0,170.0,298.0,90.0,5.22,0.126,0.012,8.1,0.0,0.12,0.24,4.58,0.785,0.299,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.883,3.611,0.35700000000000004,64.0,28.35,1 oz,453.6,1 lb,43.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,whl (arm&bld),ln&fat,1/8""fat,ckd","lamb,aus,imp,frsh,shldr,whl (arm&bld),ln&fat,1/8""fat,ckd",55.31,296,23.58,21.65,0.96,0.0,0.0,0.0,28.0,1.78,21.0,183.0,288.0,85.0,5.85,0.13699999999999998,0.014,4.5,0.0,0.094,0.267,4.415,0.7170000000000001,0.204,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.324000000000002,8.537,0.8220000000000001,89.0,85.0,3 oz,262.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",22.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,whl (arm&bld),ln&fat,1/8""fat,raw","lamb,aus,imp,frsh,shldr,whl (arm&bld),ln&fat,1/8""fat,raw",62.7,256,16.68,20.47,0.78,0.0,0.0,0.0,18.0,1.26,18.0,156.0,267.0,76.0,4.09,0.113,0.01,3.3,0.0,0.107,0.213,4.001,0.6779999999999999,0.261,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.907,8.283999999999999,0.84,66.0,28.35,1 oz,453.6,1 lb,22.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,whl (arm&bld),ln,1/8""fat,ckd","lamb,aus,imp,frsh,shldr,whl (arm&bld),ln,1/8""fat,ckd",61.05,233,26.18,13.44,1.06,0.0,0.0,0.0,28.0,1.9,22.0,195.0,308.0,91.0,6.65,0.15,0.014,5.1,0.0,0.1,0.29,4.695,0.775,0.211,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.843,5.2639999999999985,0.546,91.0,85.0,3 oz,222.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",34.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,whl (arm&bld),ln,1/8""fat,raw","lamb,aus,imp,frsh,shldr,whl (arm&bld),ln,1/8""fat,raw",72.39,155,19.36,8.01,0.89,0.0,0.0,0.0,18.0,1.42,21.0,178.0,306.0,88.0,4.87,0.13,0.013,3.9,0.0,0.12,0.24,4.58,0.785,0.299,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.355,3.214,0.32299999999999995,64.0,28.35,1 oz,453.6,1 lb,38.0,баранина,cluster 10
"ягненок, aus, imp, frsh, вырезка, bnless, ln & fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,tenderloin,bnless,ln & fat,1/8"" fat,raw",71.83,143,23.23,5.52,1.08,0.0,0.0,0.0,2.0,2.25,26.0,208.0,308.0,73.0,2.3,0.126,0.006,8.0,0.0,0.145,0.376,8.394,0.87,0.55,0.0,0.0,0.0,0.0,0.0,2.1,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.255,2.087,0.46,76.0,114.0,4 oz,146.0,1 roast,1.0,баранина,cluster 10
"ягненок, aus, imp, frsh, вырезка, bnless, ln & fat, 1/8 ""fat, rstd","lamb,aus,imp,frsh,tenderloin,bnless,ln & fat,1/8"" fat,rstd",62.38,187,30.87,7.02,1.48,0.0,0.0,0.0,2.0,2.52,24.0,170.0,231.0,61.0,2.42,0.13699999999999998,0.006999999999999999,9.7,0.0,0.192,0.568,9.544,1.215,0.769,0.0,0.0,0.0,0.0,0.0,2.65,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,2.251,2.077,0.546,110.0,85.0,3 oz,121.0,1 roast,0.0,баранина,cluster 10
"ягненок, aus, imp, frsh, вырезка, bnбез, ln, 1/8"" жир, ckd, rstd","lamb,aus,imp,frsh,tenderloin,bnless,ln,1/8"" fat,ckd,rstd",62.62,184,30.97,6.71,1.49,0.0,0.0,0.0,2.0,2.52,24.0,170.0,231.0,61.0,2.42,0.13699999999999998,0.006999999999999999,9.8,0.0,0.193,0.57,9.58,1.22,0.772,0.0,0.0,0.0,0.0,0.0,2.67,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,2.084,1.953,0.529,111.0,85.0,3 oz,121.0,1 roast,1.0,баранина,cluster 10
"ягненок,aus,ребрышки/релка rst,французский,с костями,ln & ft,1/8"",raw","lamb,aus,rib chop/rack rst,frenched,bone-in,ln & ft,1/8"",raw",61.86,237,21.26,16.89,0.86,0.0,0.0,0.0,7.0,1.55,28.0,132.0,189.0,69.0,1.94,0.091,0.004,10.9,0.0,0.109,0.328,6.482,0.5770000000000001,0.483,0.0,0.0,0.0,0.0,0.0,0.89,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,8.128,6.8329999999999975,1.03,69.0,114.0,4 oz,63.0,1 chop,25.0,баранина,cluster 10
ягненок,lamb,60.7,267,16.88,21.59,0.88,0.0,0.0,0.0,12.0,1.57,22.0,160.0,230.0,58.0,3.33,0.104,0.019,19.8,0.0,0.12,0.22,6.1,0.67,0.13,18.0,0.0,18.0,18.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,9.47,8.86,1.7,72.0,28.35,1 oz,453.6,1 lb,23.0,баранина,cluster 10
"ягненок, австралийский, берец, frsh, внешний жир, ckd","lamb,australian,imp,frsh,external fat,ckd",27.09,538,16.9,52.3,0.75,0.0,0.0,0.0,12.0,1.98,20.0,148.0,207.0,58.0,2.13,0.071,0.006,5.0,0.0,0.08199999999999999,0.23,4.3,0.52,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,20.337,3.115,81.0,85.0,3 oz,0.0,0,0.0,баранина,cluster 10
"ягненок, австралийский, берец, frsh, внешний жир, сырой","lamb,australian,imp,frsh,external fat,raw",38.41,487,12.59,48.5,0.56,0.0,0.0,0.0,10.0,1.08,9.0,92.0,149.0,69.0,1.41,0.049,0.004,4.7,0.0,0.053,0.14,3.16,0.35,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.892,19.541,2.797,71.0,0.0,0,0.0,0,0.0,баранина,cluster 10
"ягненок, австралийский, берец, frsh, швовой жир, ckd","lamb,australian,imp,frsh,seam fat,ckd",29.25,554,13.81,54.72,0.67,1.55,0.0,0.0,8.0,1.39,12.0,112.0,164.0,53.0,1.8,0.055,0.004,6.2,0.0,0.069,0.2,3.61,0.47,0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.619,21.229,3.324,110.0,0.0,0,0.0,0,0.0,баранина,cluster 10
"баранина, австралийская, берец, frsh, швовский жир, сырой","lamb,australian,imp,frsh,seam fat,raw",40.32,459,15.65,44.01,0.66,0.0,0.0,0.0,6.0,0.98,3.0,71.0,126.0,55.0,1.1,0.031,0.002,5.7,0.0,0.075,0.2,3.94,0.43,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.397,16.988,2.6210000000000004,90.0,0.0,0,0.0,0,0.0,баранина,cluster 10
"ягненок, австралийский, берец, frsh, вырезка, без bn, ln, жир 1/8"", сырой","lamb,australian,imp,frsh,tenderloin,bnless,ln,1/8"" fat,raw",72.45,136,23.42,4.73,1.09,0.0,0.0,0.0,2.0,2.27,26.0,210.0,311.0,73.0,2.32,0.128,0.006,8.1,0.0,0.147,0.38,8.49,0.88,0.556,0.0,0.0,0.0,0.0,0.0,2.14,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.857,1.767,0.417,76.0,114.0,4 oz,146.0,1 roast,3.0,баранина,cluster 10
"lamb,dom,comp of rtl cuts,fat,1/4""fat,choic,ckd","lamb,dom,comp of rtl cuts,fat,1/4""fat,choic,ckd",26.14,586,12.16,59.18,0.68,0.0,0.0,0.0,23.0,1.29,13.0,114.0,194.0,58.0,1.74,0.08800000000000001,0.004,18.8,0.0,0.07,0.17,7.8,0.58,0.04,3.0,0.0,3.0,3.0,54.3,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,2.0,4.6,27.02,24.4,4.48,114.0,85.0,3 oz,286.0,"1 unit, cooked (yield from 1 lb raw meat)",0.0,баранина,cluster 10
"баранина,домашняя,комплекс отрезов,жир,1/4""жира,выбор,сырье","lamb,dom,comp of rtl cuts,fat,1/4""fat,choic,raw",22.54,665,6.65,70.61,0.36,0.0,0.0,0.0,19.0,0.98,9.0,73.0,82.0,31.0,1.13,0.057,0.003,8.8,0.0,0.06,0.16,6.37,0.58,0.04,3.0,0.0,3.0,3.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,32.24,29.11,5.35,90.0,28.35,1 oz,453.6,1 lb,0.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,blade,ln&fat,1/8""fat,ckd,brld","lamb,aus,imp,frsh,shldr,blade,ln&fat,1/8""fat,ckd,brld",56.63,291,21.71,22.03,0.98,0.0,0.0,0.0,28.0,1.58,20.0,177.0,295.0,88.0,5.61,0.121,0.012,8.2,0.0,0.095,0.268,4.43,0.72,0.205,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,8.644,0.82,84.0,85.0,3 oz,273.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",25.0,баранина,cluster 10
"lamb, aus, imp, frsh, shldr, arm, ln, 1/8 ""fat, raw","lamb,aus,imp,frsh,shldr,arm,ln,1/8""fat,raw",73.95,137,19.88,5.81,0.95,0.0,0.0,0.0,15.0,1.54,22.0,193.0,325.0,83.0,4.16,0.139,0.015,7.7,0.0,0.12,0.24,4.58,0.785,0.299,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335,2.424,0.27,62.0,28.35,1 oz,85.0,3 oz,28.0,баранина,cluster 10
"lamb,aus,imp,frsh,shldr,arm,ln,1/8""fat,ckd,brsd","lamb,aus,imp,frsh,shldr,arm,ln,1/8""fat,ckd,brsd",56.98,238,34.17,10.23,1.03,0.0,0.0,0.0,27.0,2.71,25.0,221.0,287.0,78.0,7.78,0.215,0.02,10.6,0.0,0.1,0.29,4.695,0.775,0.211,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.173,4.16,0.499,111.0,85.0,3 oz,0.0,0,29.0,баранина,cluster 10
"lamb, aus, imp, frsh, shldr, arm, ln & fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,shldr,arm,ln&fat,1/8""fat,raw",63.82,243,17.06,18.89,0.83,0.0,0.0,0.0,16.0,1.35,19.0,168.0,281.0,72.0,3.52,0.12,0.012,6.5,0.0,0.107,0.212,3.994,0.677,0.26,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.125,7.697,0.777,65.0,28.35,1 oz,85.0,3 oz,9.0,баранина,cluster 10
"ягненок,aus,imp,frsh,нога,половина рулинки,ln,1/8""жир,сырье","lamb,aus,imp,frsh,leg,shank half,ln,1/8""fat,raw",74.08,133,20.45,5.1,1.08,0.0,0.0,0.0,7.0,1.61,22.0,191.0,329.0,81.0,4.5,0.202,0.012,8.7,0.0,0.155,0.32,5.56,0.53,0.406,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.008,2.157,0.246,64.0,28.35,1 oz,453.6,1 lb,28.0,баранина,cluster 10
"ягненок, aus, imp, frsh, нога, sirl chops, bnless, ln & fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,leg,sirl chops,bnless,ln&fat,1/8""fat,raw",66.86,208,18.33,14.38,0.86,0.0,0.0,0.0,11.0,1.75,22.0,192.0,308.0,59.0,3.21,0.139,0.014,7.1,0.0,0.14,0.28800000000000003,4.996,0.49,0.362,0.0,0.0,0.0,0.0,0.0,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.898,5.877999999999999,0.649,66.0,28.35,1 oz,0.0,0,2.0,баранина,cluster 10
"ягненок,aus,imp,frsh,нога,sirl chops,bnless,ln,1/8""fat,ckd,brld","lamb,aus,imp,frsh,leg,sirl chops,bnless,ln,1/8""fat,ckd,brld",64.08,188,27.63,7.8,1.05,0.0,0.0,0.0,13.0,2.48,26.0,237.0,354.0,66.0,5.21,0.173,0.015,10.8,0.0,0.135,0.42,5.725,0.99,0.46,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.159,3.177,0.396,85.0,85.0,3 oz,0.0,0,11.0,баранина,cluster 10
"lamb,aus,imp,frsh,leg,sirl chps,bnless,ln&ft,1/8""ft,ckd,brld","lamb,aus,imp,frsh,leg,sirl chps,bnless,ln&ft,1/8""ft,ckd,brld",59.95,235,25.75,13.83,0.99,0.0,0.0,0.0,14.0,2.34,25.0,224.0,336.0,64.0,4.83,0.162,0.015,10.1,0.0,0.128,0.391,5.433,0.929,0.43,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.414,5.567,0.595,85.0,85.0,3 oz,0.0,0,1.0,баранина,cluster 10
"lamb,aus,imp,frsh,нога,половина,bnless,ln,1/8""fat,ckd,rstd","lamb,aus,imp,frsh,leg,sirl half,bnless,ln,1/8""fat,ckd,rstd",62.18,215,27.75,10.65,1.05,0.0,0.0,0.0,13.0,2.24,25.0,214.0,318.0,83.0,4.76,0.194,0.017,13.0,0.0,0.135,0.42,5.725,0.99,0.46,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.508,4.182,0.482,105.0,85.0,3 oz,259.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",17.0,баранина,cluster 10
"lamb,aus,imp,frsh,нога,sirl hlf,bnless,ln&ft,1/8""fat,ckd,rstd","lamb,aus,imp,frsh,leg,sirl hlf,bnless,ln&ft,1/8""fat,ckd,rstd",56.2,281,24.88,19.38,0.96,0.0,0.0,0.0,15.0,2.06,23.0,199.0,297.0,78.0,4.24,0.173,0.016,11.7,0.0,0.124,0.376,5.2810000000000015,0.898,0.415,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.245,7.657999999999999,0.7709999999999999,102.0,85.0,3 oz,306.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",2.0,баранина,cluster 10
"баранина,aus,берец,frsh,ножка,филейная отделки,без bn,ln,1/8""жира,сырье","lamb,aus,imp,frsh,leg,sirloin chops,bnless,ln,1/8""fat,raw",74.13,132,20.43,4.91,0.95,0.0,0.0,0.0,9.0,1.94,25.0,214.0,342.0,64.0,3.58,0.156,0.016,8.0,0.0,0.155,0.32,5.56,0.53,0.406,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.948,2.0340000000000003,0.267,64.0,28.35,1 oz,0.0,0,17.0,баранина,cluster 10
"ягненок, aus, imp, frsh, нога, филеная половина, bnless, ln & fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,leg,sirloin half,bnless,ln&fat,1/8""fat,raw",62.63,254,17.25,20.0,0.87,0.0,0.0,0.0,12.0,1.5,20.0,167.0,279.0,70.0,2.95,0.14800000000000002,0.013,8.0,0.0,0.133,0.272,4.695,0.469,0.339,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.754,8.101,0.823,66.0,28.35,1 oz,453.6,1 lb,2.0,баранина,cluster 10
"ягненок,aus,imp,frsh,нога,филейная половина,bnбез,ln,1/8""жира,сырье","lamb,aus,imp,frsh,leg,sirloin half,bnless,ln,1/8""fat,raw",73.68,138,20.48,5.64,1.03,0.0,0.0,0.0,10.0,1.75,23.0,195.0,328.0,80.0,3.5,0.179,0.017,9.8,0.0,0.155,0.32,5.56,0.53,0.406,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3080000000000003,2.293,0.267,63.0,28.35,1 oz,453.6,1 lb,24.0,баранина,cluster 10
"ягненок, нз, берец, черепка, жир и жир, сырой","lamb,nz,imp,loin chop,ln & fat,raw",56.89,298,15.4,26.19,0.82,0.22,0.0,0.0,14.0,1.24,18.0,149.0,262.0,63.0,2.08,0.08800000000000001,0.006999999999999999,4.4,0.0,0.111,0.12,4.152,0.418,0.125,0.0,0.0,0.0,0.0,0.0,1.47,54.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.47,0.1,3.0,0.0,11.161,7.465,0.967,69.0,115.0,1 serving,0.0,0,20.0,баранина,cluster 10
"ягненок,aus,imp,frsh,нога,рысаж без кости,ln,1/8"" жир,сырой","lamb,aus,imp,frsh,leg,trotter off,bone-in,ln,1/8"" fat,raw",73.02,131,23.11,4.33,1.01,0.0,0.0,0.0,3.0,2.25,23.0,167.0,238.0,77.0,2.94,0.129,0.005,7.1,0.0,0.142,0.4,6.65,0.75,0.452,0.0,0.0,0.0,0.0,0.0,1.8,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,1.774,1.815,0.394,76.0,114.0,4 oz,2674.0,"1 leg, trotter off",31.0,баранина,cluster 10
"lamb,aus,imp,frsh,нога,whl (shk&sirl),ln&fat,1/8""fat,raw","lamb,aus,imp,frsh,leg,whl (shk&sirl),ln&fat,1/8""fat,raw",66.33,215,18.24,15.19,0.95,0.0,0.0,0.0,10.0,1.48,20.0,173.0,295.0,73.0,3.75,0.173,0.011,4.2,0.0,0.14,0.287,4.964,0.488,0.359,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2879999999999985,6.226,0.657,66.0,28.35,1 oz,453.6,1 lb,14.0,баранина,cluster 10
"lamb,aus,imp,frsh,нога,whl (shk&sirl),ln,1/8""fat,ckd,rstd","lamb,aus,imp,frsh,leg,whl (shk&sirl),ln,1/8""fat,ckd,rstd",64.54,190,27.31,8.1,1.09,0.0,0.0,0.0,9.0,2.15,25.0,214.0,326.0,72.0,4.83,0.158,0.014,5.9,0.0,0.135,0.42,5.725,0.99,0.46,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.297,3.304,0.38,89.0,85.0,3 oz,251.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",26.0,баранина,cluster 10
"lamb,aus,imp,frsh,нога,whl (shk&sirl),ln,1/8""fat,raw","lamb,aus,imp,frsh,leg,whl (shk&sirl),ln,1/8""fat,raw",73.98,135,20.46,5.23,1.06,0.0,0.0,0.0,8.0,1.64,23.0,192.0,329.0,81.0,4.25,0.196,0.013,4.6,0.0,0.155,0.32,5.56,0.53,0.406,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081,2.19,0.251,64.0,28.35,1 oz,453.6,1 lb,28.0,баранина,cluster 10
"lamb, aus, imp, frsh, loin, ln & fat, 1/8 ""fat, ckd, brld","lamb,aus,imp,frsh,loin,ln&fat,1/8""fat,ckd,brld",62.0,219,25.49,12.25,1.03,0.0,0.0,0.0,21.0,2.12,25.0,214.0,331.0,78.0,3.36,0.15,0.013,9.6,0.0,0.173,0.322,7.831,0.813,0.493,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.572,4.888,0.486,82.0,85.0,3 oz,0.0,0,26.0,баранина,cluster 10
"ягненок, aus, imp, frsh, loin, ln & fat, 1/8 ""fat, raw","lamb,aus,imp,frsh,loin,ln&fat,1/8""fat,raw",66.8,203,19.32,13.38,0.88,0.0,0.0,0.0,15.0,1.66,22.0,185.0,302.0,70.0,2.5,0.13,0.013,8.2,0.0,0.16899999999999998,0.29,6.652,0.615,0.445,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.401,5.374,0.54,66.0,28.35,1 oz,85.0,3 oz,28.0,баранина,cluster 10
"ягненок,aus,imp,frsh,корейка,ln,1/8"" жир,ckd,brld","lamb,aus,imp,frsh,loin,ln,1/8""fat,ckd,brld",64.45,192,26.53,8.75,1.07,0.0,0.0,0.0,21.0,2.18,26.0,220.0,340.0,80.0,3.48,0.156,0.014,10.3,0.0,0.18,0.333,8.15,0.84,0.514,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.687,3.499,0.3670000000000001,81.0,85.0,3 oz,0.0,0,31.0,баранина,cluster 10
